team,div,value,school
m,OperatingExpenses,3028191,aColumbia
m,CoachSalaries,4985577,aColumbia
m,RecruitingExpenses,786757,aColumbia
m,OtherExpenses,3758254,aColumbia
f,OperatingExpenses,1734977,aColumbia
f,CoachSalaries,2597451,aColumbia
f,RecruitingExpenses,316503,aColumbia
f,OtherExpenses,1470208,aColumbia
m,OperatingExpenses,3839160,bPenn
m,CoachSalaries,4274571,bPenn
m,RecruitingExpenses,568474,bPenn
m,OtherExpenses,2807933,bPenn
f,OperatingExpenses,2732752,bPenn
f,CoachSalaries,3441641,bPenn
f,RecruitingExpenses,526605,bPenn
f,OtherExpenses,2449505,bPenn
m,OperatingExpenses,4472264,cYale
m,CoachSalaries,4698909,cYale
m,RecruitingExpenses,843500,cYale
m,OtherExpenses,4063238,cYale
f,OperatingExpenses,2800151,cYale
f,CoachSalaries,3121503,cYale
f,RecruitingExpenses,342255,cYale
f,OtherExpenses,1642957,cYale
m,OperatingExpenses,2485438,dCornell
m,CoachSalaries,4283514,dCornell
m,RecruitingExpenses,714482,dCornell
m,OtherExpenses,5924476,dCornell
f,OperatingExpenses,1620069,dCornell
f,CoachSalaries,2771136,dCornell
f,RecruitingExpenses,357344,dCornell
f,OtherExpenses,3556029,dCornell
m,OperatingExpenses,3779587,ePrinceton
m,CoachSalaries,4884552,ePrinceton
m,RecruitingExpenses,1257981,ePrinceton
m,OtherExpenses,4380269,ePrinceton
f,OperatingExpenses,2109224,ePrinceton
f,CoachSalaries,2499992,ePrinceton
f,RecruitingExpenses,250772,ePrinceton
f,OtherExpenses,1431836,ePrinceton
m,OperatingExpenses,3255841,fDartmouth
m,CoachSalaries,3569936,fDartmouth
m,RecruitingExpenses,657879,fDartmouth
m,OtherExpenses,2987245,fDartmouth
f,OperatingExpenses,2490449,fDartmouth
f,CoachSalaries,2488527,fDartmouth
f,RecruitingExpenses,418786,fDartmouth
f,OtherExpenses,1609562,fDartmouth
m,OperatingExpenses,3303361,gBrown
m,CoachSalaries,3707457,gBrown
m,RecruitingExpenses,593750,gBrown
m,OtherExpenses,2528519,gBrown
f,OperatingExpenses,2371723,gBrown
f,CoachSalaries,2785958,gBrown
f,RecruitingExpenses,231440,gBrown
f,OtherExpenses,1851087,gBrown
m,OperatingExpenses,3556727,Harvard
m,CoachSalaries,5117686,Harvard
m,RecruitingExpenses,822166,Harvard
m,OtherExpenses,3265742,Harvard
f,OperatingExpenses,2970381,Harvard
f,CoachSalaries,3584706,Harvard
f,RecruitingExpenses,428323,Harvard
f,OtherExpenses,2194585,Harvard